PATRON#|Activity_Date|LOCATION|I_TYPE
1180355|10-06-2022|cjx|1
1070767|10-06-2022|hxn|1
1070767|10-06-2022|cx|1
1070767|10-06-2022|mjp|1
1070767|10-06-2022|hx|1
1070767|10-06-2022|mx|1
1192091|10-06-2022|mbn|1
1070767|10-06-2022|mf|1
1192091|10-06-2022|mf|1
1192091|10-06-2022|mx|1
1192091|10-06-2022|mxn|1
1192091|10-06-2022|mosn|1
1192303|10-06-2022|mjp|23
1192303|10-06-2022|hjp|23
1192303|10-06-2022|mjx|1
1192303|10-06-2022|mjpbb|1
1192303|10-06-2022|mx|1
1192303|10-06-2022|mjpbb|23
1192303|10-06-2022|mjp|23
1051246|10-06-2022|cltf|1
1051246|10-06-2022|cltf|1
1051246|10-06-2022|cltf|1
1051246|10-06-2022|cltf|1
1051246|10-06-2022|cmyn|1
1051246|10-06-2022|cmyn|1
1298260|10-06-2022|hmy|1
1298260|10-06-2022|hmy|1
1002606|10-06-2022|hjpn|1
1002606|10-06-2022|cfn|1
1002606|10-06-2022|hfn|1
1193848|10-06-2022|mjfn|1
1193848|10-06-2022|mjsf|36
1002606|10-06-2022|hf|1
1193848|10-06-2022|mjsf|4
1193848|10-06-2022|mjp|1
1193848|10-06-2022|mjp|1
1193848|10-06-2022|mjzfn|1
1002606|10-06-2022|hltf|1
1002606|10-06-2022|hltf|1
1002606|10-06-2022|hfn|1
1193848|10-06-2022|cjp|1
1002606|10-06-2022|hf|1
1002606|10-06-2022|hx|101
1002606|10-06-2022|hf|1
1002606|10-06-2022|hfn|1
1016723|10-06-2022|mjp|1
1425119|10-06-2022|mjve|22
1016723|10-06-2022|mjp|1
1425119|10-06-2022|mjve|22
1425119|10-06-2022|mjve|22
1016723|10-06-2022|mjp|1
1425119|10-06-2022|mjve|22
1425119|10-06-2022|mjxn|1
1425119|10-06-2022|mjf|1
1274774|10-06-2022|hmag|9
1274774|10-06-2022|hmag|9
1274774|10-06-2022|hmag|9
1050785|10-06-2022|cx|1
1050785|10-06-2022|hx|101
1060731|10-06-2022|mx|1
1060731|10-06-2022|mmy|1
1060731|10-06-2022|mpbmy|1
1376804|10-06-2022|mjp|1
1376804|10-06-2022|mejp|1
1376804|10-06-2022|mjp|1
1376804|10-06-2022|mjp|1
1205932|10-06-2022|cx|1
1205932|10-06-2022|cf|1
1376804|10-06-2022|mjp|1
1383610|10-06-2022|cx|1
1383610|10-06-2022|cx|1
1383610|10-06-2022|cxn|1
1376804|10-06-2022|mjp|1
1302695|10-06-2022|mjx|1
1302695|10-06-2022|cjx|1
1302695|10-06-2022|cjx|1
1302695|10-06-2022|cf|1
1302695|10-06-2022|cjx|1
1302695|10-06-2022|cjx|1
1302695|10-06-2022|cjx|101
1302695|10-06-2022|cjx|1
1294681|10-06-2022|hf|1
1385554|10-06-2022|cxn|1
1060714|10-06-2022|hx|1
1060714|10-06-2022|hx|1
1060714|10-06-2022|hf|1
1384919|10-06-2022|mg|50
1120309|10-06-2022|hf|1
1091895|10-06-2022|mf|1
1047375|10-06-2022|hxn|1
1111599|10-06-2022|hven|22
1111599|10-06-2022|hve|39
1111599|10-06-2022|hve|29
1047375|10-06-2022|mmag|9
1047375|10-06-2022|mmag|9
1129787|10-06-2022|hyag|1
1129787|10-06-2022|cjf|1
1408146|10-06-2022|hjx|1
1408146|10-06-2022|hjx|1
1408146|10-06-2022|hjx|1
1408146|10-06-2022|mjg|1
1346647|10-06-2022|mjzf|1
1408146|10-06-2022|mjg|1
1408146|10-06-2022|hjg|1
1408146|10-06-2022|hjx|1
1408146|10-06-2022|hjx|1
1408146|10-06-2022|hjx|1
1346647|10-06-2022|cjp|1
1408146|10-06-2022|hjx|1
1346647|10-06-2022|cjzf|101
1346647|10-06-2022|cjp|1
1391490|10-06-2022|hjf|1
1346647|10-06-2022|cjzf|1
1391490|10-06-2022|hx|1
1391490|10-06-2022|hjf|1
